Farmer Name,County,Crop Type,Crop Variety,Season,Planted Area (Acres),Yield (Kg),Market Price (KES/Kg),Revenue (KES),Cost of Production (KES),Profit (KES),Planting Date,Harvest Date,Soil Type,Irrigation Method,Fertilizer Used,Pest Control,Weather Impact,Farmer Contact,Notes
Farmer 1,Kiambu,Potatoes,Organic,Long Rains,15.14,1654.76,100.19,2510066.72,8977.19,2501089.53,2023-08-01,2023-11-02,Peaty,Drip,None,Organic,Mild,731810617,High yield
Farmer 2,Meru,Coffee,Local,Short Rains,13.54,1957.61,168.63,4469713.42,47882.55,4421830.87,2023-02-25,2023-09-07,Silty,Sprinkler,Error,Organic,Mild,773993471,
Farmer 3,Nakuru,Sorghum,Error,Long Rains,19.33,4679.65,102.63,9283667.03,69370.32,9214296.71,2023-07-08,2023-12-28,Peaty,None,CAN,None,None,778642041,Delayed harvest
Farmer 4,Eldoret,Potatoes,Organic,Short Rains,1.56,420.18,125.2,82066.2,43454.15,38612.05,2023-03-22,2024-01-08,,None,UREA,Chemical,Mild,758586340,
Farmer 5,Machakos,Tomatoes,Hybrid,Short Rains,13.93,Error,199.42,,69673.69,,2023-03-01,2023-10-24,Clay,None,UREA,None,Severe,770291817,
Farmer 6,Kericho,Cassava,Organic,Short Rains,4.88,1294.28,169.12,1068176.53,54319.48,1013857.05,2023-08-31,2023-10-13,Loam,Drip,None,Organic,Mild,757130035,Delayed harvest
Farmer 7,Mombasa,N/A,Organic,Short Rains,6.67,3205.36,139.8,2988889.22,44731.25,2944157.97,2023-08-06,2023-11-20,Loam,None,Manure,None,Severe,715354599,Pest issues
Farmer 8,Error,Maize,Organic,Long Rains,15.63,747.58,183.67,2146124.33,80654.18,2065470.15,2023-11-23,2023-05-26,Silty,Error,None,Organic,Mild,733978249,
Farmer 9,Nairobi,Cassava,Hybrid,Short Rains,11.03,4757.72,27.42,1438937.21,21508.58,1417428.63,2023-03-31,2023-04-14,Sandy,Sprinkler,DAP,Organic,Mild,730863865,High yield
Farmer 10,Meru,Cassava,Organic,Error,1.93,718.34,53.41,74047.42,31939.83,42107.59,2023-10-15,2024-03-09,Sandy,None,DAP,None,None,729175900,High yield
Farmer 11,Kiambu,Tomatoes,Local,Long Rains,13.03,4861.87,20,1267003.32,N/A,,2023-01-29,N/A,Loam,Flood,DAP,Chemical,Mild,788320463,Pest issues
Farmer 12,Error,,Hybrid,Dry Season,3.85,923.85,157.48,560128.41,45441.62,514686.79,2023-02-04,2024-02-18,Sandy,Flood,CAN,Organic,N/A,765259205,
Farmer 13,Meru,Potatoes,Organic,Long Rains,4.17,1883.1,134.75,1058128.01,33519.18,1024608.83,2023-12-10,2023-10-03,N/A,Sprinkler,Manure,Organic,Mild,784093639,
Farmer 14,Meru,N/A,Organic,Long Rains,7.6,2258.93,193.59,3323527.57,,,2023-07-11,2023-05-12,Clay,Drip,CAN,Organic,N/A,731831063,High yield
Farmer 15,Nairobi,Maize,Hybrid,Dry Season,1.72,2625.34,113.38,511977,55055.36,456921.64,2023-09-03,2023-06-09,N/A,,,Chemical,Severe,784158663,Pest issues
Farmer 16,Error,Sorghum,Hybrid,Long Rains,9.07,1673.94,92.64,1406519.38,78349.89,1328169.49,2023-01-17,2024-03-13,Sandy,Drip,None,Chemical,None,713999315,High yield
Farmer 17,Meru,Rice,Hybrid,Long Rains,3.87,1522.78,178.01,1049041.16,87918.06,961123.1,2023-03-08,2023-04-29,Peaty,Sprinkler,UREA,None,None,715334035,Pest issues
Farmer 18,Kericho,Wheat,Hybrid,Dry Season,12.3,2141.28,37.3,982397.85,24932.05,957465.8,2023-10-23,2023-07-07,Silty,None,CAN,Organic,Severe,776238574,Pest issues
Farmer 19,N/A,Cassava,Hybrid,Long Rains,6.13,4700.85,38.3,1103660.86,71165.24,1032495.62,2023-12-19,2024-01-31,Peaty,Drip,UREA,None,Mild,771510041,
Farmer 20,Kiambu,Cassava,Hybrid,Short Rains,1.71,3411.76,64.91,378692.05,15501.14,363190.91,2023-09-03,2024-01-01,Peaty,Sprinkler,None,Organic,Severe,758586340,High yield
Farmer 21,Eldoret,Tea,Error,Short Rains,18.2,2147.64,113.23,4425826.45,67765.71,4358060.74,2023-07-27,2023-12-20,Silty,Sprinkler,Manure,Organic,N/A,738270233,Pest issues
Farmer 22,Nyeri,Error,Hybrid,,13.88,3833.11,117.19,6234925.99,14062.49,6220863.5,2023-06-07,2023-10-20,Clay,Drip,N/A,None,None,723009833,N/A
Farmer 23,Mombasa,Beans,Local,Long Rains,7.83,4894.6,187.89,7200831.27,73420.23,7127411.04,2023-06-14,2023-06-13,Peaty,Flood,None,None,Severe,732097220,Pest issues
Farmer 24,Kisumu,Sorghum,Local,Long Rains,9.53,1096.35,154.72,1616547.9,70673.09,1545874.81,2023-09-20,2023-11-25,Error,Flood,CAN,Organic,None,783197857,
Farmer 25,Kisumu,Coffee,Local,Short Rains,3.78,3244.87,187.44,2299065.68,28199.33,2270866.35,2023-11-14,2023-09-29,Silty,N/A,UREA,Organic,None,713326769,
Farmer 26,N/A,Cassava,,Short Rains,1.33,978.84,66.86,87042.17,N/A,,2023-08-19,2023-09-30,Silty,None,Error,Organic,None,766792612,Delayed harvest
Farmer 27,Nakuru,Wheat,N/A,Long Rains,2.49,930.96,62.43,144718.38,33624.63,111093.75,2023-12-22,2023-09-08,Silty,Flood,Manure,Organic,Mild,760119651,
Farmer 28,Meru,Tomatoes,Error,Dry Season,13.62,2763.86,41.6,1565980.97,39722.28,1526258.69,2023-03-19,2023-04-13,Sandy,Drip,UREA,Chemical,None,742329237,High yield
Farmer 29,Eldoret,Rice,Error,Long Rains,3.7,3320.81,137.43,1688602,81560.09,1607041.91,2023-07-11,2023-12-18,Peaty,None,Manure,None,None,796728778,Delayed harvest
Farmer 30,Eldoret,Sorghum,Local,Long Rains,8.6,1412.66,29.46,357905.89,61415.92,296489.97,2023-04-16,2023-05-01,Peaty,Sprinkler,CAN,Chemical,Severe,711250299,Delayed harvest
